DH	INVJ	Xt	Mt	XMt	NDH
-1.40922218498	2.0	0.0	0.1	0.0281829070669	-352.305546245
-128.143486194	10.0	0.00281432491381	0.0998592837543	0.169695255603	-6407.17430971
-166.793182872	10.0	0.0168267545397	0.099158662273	0.312211736323	-8339.65914362
-158.640406968	10.0	0.0307412841473	0.0984629357926	0.455743074842	-7932.02034842
-144.608560062	10.0	0.0445589361554	0.0977720531922	0.600300150075	-7230.4280031
-127.294866953	10.0	0.0582807187955	0.0970859640602	0.745893996988	-6364.74334766
-107.184657302	10.0	0.0719076263569	0.0964046186822	0.8925358094	-5359.23286512
-86.2144061417	10.0	0.0854406394267	0.0957279680287	1.04023694286	-4310.72030709
-67.4824725186	10.0	0.0988807251253	0.0950559637437	1.18900891757	-3374.12362593
-51.8695113766	10.0	0.112228837337	0.0943885581332	1.33886342138	-2593.47556883
-40.0533473453	10.0	0.125485916934	0.0937257041533	1.48981231286	-2002.66736727
-31.0182793629	10.0	0.138652892	0.0930673554	1.64186762442	-1550.91396814
-24.4460711985	10.0	0.151730678046	0.0924134660977	1.79504156551	-1222.30355993
-19.9220432584	10.0	0.164720178222	0.0917639910889	1.94934652588	-996.102162921
-16.2578944062	10.0	0.177622283523	0.0911188858239	2.10479507893	-812.894720308
-13.5066370806	10.0	0.190437872997	0.0904781063502	2.26139998512	-675.33185403
-11.422838743	10.0	0.203167813941	0.0898416093029	2.41917419548	-571.141937152
-9.73290245433	10.0	0.2158129621	0.089209351895	2.57813085513	-486.645122717
-8.50551140897	10.0	0.228374161854	0.0885812919073	2.738283307	-425.275570449
-7.53753751303	10.0	0.24085224641	0.0879573876795	2.89964509552	-376.876875652
-6.12767527526	10.0	0.253248037987	0.0873375981006	3.06222997044	-306.383763763
-6.10132638799	10.0	0.265562347992	0.0867218826004	3.22605189074	-305.066319399
-5.4217495578	10.0	0.2777959772	0.08611020114	3.39112502864	-271.08747789
-4.839437147	10.0	0.289949715928	0.0855025142036	3.55746377367	-241.97185735
-4.53098006236	10.0	0.302024344204	0.0848987827898	3.72508273686	-226.549003118
-4.04439357389	10.0	0.314020631934	0.0842989684033	3.893996755	-202.219678695
-3.71719463299	10.0	0.325939339067	0.0837030330466	4.06422089506	-185.859731649
-3.50829503889	10.0	0.337781215755	0.0831109392123	4.23577045862	-175.414751945
-3.10392794243	10.0	0.349547002506	0.0825226498747	4.40866098648	-155.196397121
	--	0.361237430347	0.0819381284827	--
