DH	INVJ	Xt	Mt	XMt	NDH
-13.1097913005	2.0	0.0	0.228	0.012917165739	-3203.63604922
-160.071412373	10.0	0.00294096953493	0.22767916696	0.0777769921516	-7668.49438388
-168.088598445	10.0	0.017583958494	0.226081749982	0.143097045815	-8061.85387067
-169.936784586	10.0	0.0321246419339	0.224495493607	0.208882242636	-8158.94014445
-171.455056921	10.0	0.0465640882824	0.222920281278	0.275137568784	-8235.2523525
-173.820134278	10.0	0.0609033511413	0.221355998057	0.341868081953	-8351.94187879
-174.663347628	10.0	0.075143469543	0.219802530595	0.409078912642	-8395.62305553
-176.359520923	10.0	0.0892854682009	0.218259767105	0.476775265477	-8477.27697683
-178.381089003	10.0	0.103330357756	0.216727597336	0.544962420551	-8576.46128362
-181.540894109	10.0	0.117279135017	0.215205912544	0.613645734798	-8727.98261096
-185.664818744	10.0	0.131132783196	0.21369460547	0.682830643394	-8925.46306537
-196.470621276	10.0	0.14489227214	0.212193570312	0.752522661194	-9443.49670867
-215.209659874	10.0	0.158558558559	0.210702702703	0.822727384193	-10340.7829019
-221.674609481	10.0	0.172132586242	0.209221899683	0.893450491029	-10653.5901051
-177.799611655	10.0	0.185615286281	0.207751059678	0.964697744509	-8551.39223196
-141.699746879	10.0	0.199007577282	0.206290082478	1.03647499318	-6824.04293326
-93.6322990781	10.0	0.212310365568	0.204838869211	1.10878817293	-4527.43654578
-5.58709073572	10.0	0.225524545394	0.203397322321	1.1816433086	-319.062421264
19.5997147844	10.0	0.238650999137	0.201965345549	1.25504651571	886.237188429
15.0617048631	10.0	0.251690597499	0.200542843909	1.32900400211	669.711574111
11.7680418755	10.0	0.264644199697	0.199129723669	1.40352206978	510.763098048
9.02473410652	10.0	0.277512653651	0.197725892329	1.47860711659	380.761684755
6.68790280103	10.0	0.290296796174	0.196331258599	1.55426563813	270.109471263
5.96881150097	10.0	0.302997453144	0.194945732384	1.6305042296	235.34560091
5.17398963915	10.0	0.315615439693	0.193569224761	1.70732958773	197.946867563
4.51371919306	10.0	0.328151560371	0.19220164796	1.78474851271	165.758771509
6.1034186112	10.0	0.340606609325	0.190842915346	1.86276791024	239.387287809
6.85508427463	10.0	0.352981370463	0.189492941404	1.94139479353	276.326328402
6.05217213523	10.0	0.365276617619	0.188151641714	2.02063628547	237.265447375
	--	0.377493114712	0.18681893294	--
