DH	INVJ	Xt	Mt	XMt	NDH
-43.1125831654	5.0	0.0	0.1	0.0705318098462	-4295.73825674
-283.2450677	10.0	0.00702839471465	0.0996485802643	0.212344280861	-14162.253385
-301.565544953	10.0	0.0210113461269	0.0989494326937	0.355164085808	-15078.2772477
-299.528578484	10.0	0.034896705751	0.0982551647125	0.499001996008	-14976.4289242
-287.366379086	10.0	0.0486854917235	0.0975657254138	0.643868936901	-14368.3189543
-246.471095222	10.0	0.0623787080676	0.0968810645966	0.78977599081	-12323.5547611
-176.523446442	10.0	0.0759773449371	0.0962011327531	0.936734399769	-8826.1723221
-94.0867602842	10.0	0.0894823788546	0.0955258810573	1.08475556841	-4704.33801421
-54.139943952	10.0	0.102894772946	0.0948552613527	1.23385106692	-2706.9971976
-36.0406515876	10.0	0.116215477167	0.0941892261416	1.38403263403	-1802.03257938
-27.2086055606	10.0	0.129445428532	0.0935277285734	1.53531218014	-1360.43027803
-24.4212363283	10.0	0.142585551331	0.0928707224335	1.68770179043	-1221.06181641
-20.1268320473	10.0	0.155636757342	0.0922181621329	1.84121372809	-1006.34160236
-16.1935137782	10.0	0.168599946048	0.0915700026976	1.99586043761	-809.675688908
-17.1147256128	10.0	0.181476004839	0.090926199758	2.15165454815	-855.736280639
-16.2932731206	10.0	0.194265809218	0.0902867095391	2.30860887697	-814.663656032
-14.7899515203	10.0	0.206970222994	0.0896514888503	2.46673643295	-739.497576013
-14.8998397005	10.0	0.219590098483	0.0890204950759	2.62605042017	-744.991985025
-14.1483197511	10.0	0.232126276695	0.0883936861653	2.7865642416	-707.415987553
-13.5699129879	10.0	0.24457958752	0.087771020624	2.94829150287	-678.495649395
-13.114435524	10.0	0.256950849914	0.0871524575043	3.11124601609	-655.721776199
-12.4260165826	10.0	0.269240872078	0.0865379563961	3.27544180378	-621.300829132
-12.0782002706	10.0	0.28145045163	0.0859274774185	3.44089310292	-603.910013528
-12.0491498677	10.0	0.293580375783	0.0853209812109	3.60761436905	-602.457493387
-11.4322226423	10.0	0.305631421511	0.0847184289244	3.77562028047	-571.611132116
-10.9801400055	10.0	0.317604355717	0.0841197822142	3.94492574257	-549.007000277
-11.8258926874	10.0	0.329499935392	0.0835250032304	4.11554589222	-591.294634372
-10.7266897407	10.0	0.341318907779	0.082934054611	4.28749610228	-536.334487034
-10.9463733238	10.0	0.353062010528	0.0823468994736	4.46079198623	-547.31866619
	--	0.364729971845	0.0817635014077	--
