DH	INVJ	Xt	Mt	XMt	NDH
-15.8569164271	5.0	0.0	0.1	0.0705318098462	-1581.83790273
-109.413475534	10.0	0.00702839471465	0.0996485802643	0.212344280861	-5470.67377672
-136.922107585	10.0	0.0210113461269	0.0989494326937	0.355164085808	-6846.10537923
-141.161428449	10.0	0.034896705751	0.0982551647125	0.499001996008	-7058.07142245
-136.478622171	10.0	0.0486854917235	0.0975657254138	0.643868936901	-6823.93110857
-126.770641978	10.0	0.0623787080676	0.0968810645966	0.78977599081	-6338.53209891
-113.190923137	10.0	0.0759773449371	0.0962011327531	0.936734399769	-5659.54615686
-96.4603837092	10.0	0.0894823788546	0.0955258810573	1.08475556841	-4823.01918546
-79.6526316513	10.0	0.102894772946	0.0948552613527	1.23385106692	-3982.63158256
-63.3407378599	10.0	0.116215477167	0.0941892261416	1.38403263403	-3167.036893
-50.5563145068	10.0	0.129445428532	0.0935277285734	1.53531218014	-2527.81572534
-39.8992213873	10.0	0.142585551331	0.0928707224335	1.68770179043	-1994.96106936
-31.8006513063	10.0	0.155636757342	0.0922181621329	1.84121372809	-1590.03256532
-25.7138711849	10.0	0.168599946048	0.0915700026976	1.99586043761	-1285.69355925
-21.2861070796	10.0	0.181476004839	0.090926199758	2.15165454815	-1064.30535398
-17.6805989984	10.0	0.194265809218	0.0902867095391	2.30860887697	-884.029949922
-15.212554945	10.0	0.206970222994	0.0896514888503	2.46673643295	-760.627747251
-12.9283380116	10.0	0.219590098483	0.0890204950759	2.62605042017	-646.41690058
-11.003407202	10.0	0.232126276695	0.0883936861653	2.7865642416	-550.1703601
-10.4049405958	10.0	0.24457958752	0.087771020624	2.94829150287	-520.247029792
-8.59416126675	10.0	0.256950849914	0.0871524575043	3.11124601609	-429.708063337
-8.039683557	10.0	0.269240872078	0.0865379563961	3.27544180378	-401.98417785
-7.45515964627	10.0	0.28145045163	0.0859274774185	3.44089310292	-372.757982314
-6.73126526181	10.0	0.293580375783	0.0853209812109	3.60761436905	-336.56326309
-6.25766961695	10.0	0.305631421511	0.0847184289244	3.77562028047	-312.883480848
-5.66141311342	10.0	0.317604355717	0.0841197822142	3.94492574257	-283.070655671
-5.30757440644	10.0	0.329499935392	0.0835250032304	4.11554589222	-265.378720322
-5.01992382279	10.0	0.341318907779	0.082934054611	4.28749610228	-250.99619114
-4.81020824756	10.0	0.353062010528	0.0823468994736	4.46079198623	-240.510412378
	--	0.364729971845	0.0817635014077	--
