DH	INVJ	Xt	Mt	XMt	NDH
-166.9757793	5.0	0.0	0.5	0.0705318098462	-3339.515586
-533.465672706	10.0	0.0351419735732	0.498242901321	0.212344280861	-5334.65672706
-543.144982875	10.0	0.105056730635	0.494747163468	0.355164085808	-5431.44982875
-536.240015239	10.0	0.174483528755	0.491275823562	0.499001996008	-5362.40015239
-530.693078913	10.0	0.243427458617	0.487828627069	0.643868936901	-5306.93078913
-523.164580992	10.0	0.311893540338	0.484405322983	0.78977599081	-5231.64580992
-512.966760382	10.0	0.379886724686	0.481005663766	0.936734399769	-5129.66760382
-505.511095089	10.0	0.447411894273	0.477629405286	1.08475556841	-5055.11095089
-496.169025651	10.0	0.514473864728	0.474276306764	1.23385106692	-4961.69025651
-494.651217439	10.0	0.581077385835	0.470946130708	1.38403263403	-4946.51217439
-431.714984797	10.0	0.647227142662	0.467638642867	1.53531218014	-4317.14984797
-327.101502318	10.0	0.712927756654	0.464353612167	1.68770179043	-3271.01502318
-249.236221021	10.0	0.77818378671	0.461090810665	1.84121372809	-2492.36221021
-192.093690851	10.0	0.84299973024	0.457850013488	1.99586043761	-1920.93690851
-154.161132701	10.0	0.907380024197	0.45463099879	2.15165454815	-1541.61132701
-125.175339389	10.0	0.971329046088	0.451433547696	2.30860887697	-1251.75339389
-105.462622511	10.0	1.03485111497	0.448257444252	2.46673643295	-1054.62622511
-91.1937801001	10.0	1.09795049241	0.445102475379	2.62605042017	-911.937801001
-78.1492132019	10.0	1.16063138347	0.441968430826	2.7865642416	-781.492132019
-67.9762722226	10.0	1.2228979376	0.43885510312	2.94829150287	-679.762722226
-60.4569730088	10.0	1.28475424957	0.435762287521	3.11124601609	-604.569730088
-55.0697617703	10.0	1.34620436039	0.432689781981	3.27544180378	-550.697617703
-50.0726514276	10.0	1.40725225815	0.429637387093	3.44089310292	-500.726514276
-44.6918567269	10.0	1.46790187891	0.426604906054	3.60761436905	-446.918567269
-41.2859604381	10.0	1.52815710756	0.423592144622	3.77562028047	-412.859604381
-37.550496428	10.0	1.58802177858	0.420598911071	3.94492574257	-375.50496428
-35.3059715963	10.0	1.64749967696	0.417625016152	4.11554589222	-353.059715963
-33.5883586333	10.0	1.7065945389	0.414670273055	4.28749610228	-335.883586333
-31.1745232259	10.0	1.76531005264	0.411734497368	4.46079198623	-311.745232259
	--	1.82364985923	0.408817507039	--
