DH	INVJ	Xt	Mt	XMt	NDH
-72.3701574801	5.0	0.0	0.5	0.0705318098462	-1447.4031496
-530.477627869	10.0	0.0351419735732	0.498242901321	0.212344280861	-5304.77627869
-674.573914915	10.0	0.105056730635	0.494747163468	0.355164085808	-6745.73914915
-691.587740821	10.0	0.174483528755	0.491275823562	0.499001996008	-6915.87740821
-685.933940175	10.0	0.243427458617	0.487828627069	0.643868936901	-6859.33940175
-658.774018717	10.0	0.311893540338	0.484405322983	0.78977599081	-6587.74018717
-623.081733138	10.0	0.379886724686	0.481005663766	0.936734399769	-6230.81733138
-592.762055997	10.0	0.447411894273	0.477629405286	1.08475556841	-5927.62055997
-527.330292035	10.0	0.514473864728	0.474276306764	1.23385106692	-5273.30292035
-481.301501176	10.0	0.581077385835	0.470946130708	1.38403263403	-4813.01501176
-433.334311141	10.0	0.647227142662	0.467638642867	1.53531218014	-4333.34311141
-387.055171138	10.0	0.712927756654	0.464353612167	1.68770179043	-3870.55171138
-343.377698112	10.0	0.77818378671	0.461090810665	1.84121372809	-3433.77698112
-302.748999849	10.0	0.84299973024	0.457850013488	1.99586043761	-3027.48999849
-265.97705899	10.0	0.907380024197	0.45463099879	2.15165454815	-2659.7705899
-233.511098417	10.0	0.971329046088	0.451433547696	2.30860887697	-2335.11098417
-204.499576592	10.0	1.03485111497	0.448257444252	2.46673643295	-2044.99576592
-179.393178177	10.0	1.09795049241	0.445102475379	2.62605042017	-1793.93178177
-157.820503365	10.0	1.16063138347	0.441968430826	2.7865642416	-1578.20503365
-139.347853496	10.0	1.2228979376	0.43885510312	2.94829150287	-1393.47853496
-123.37057678	10.0	1.28475424957	0.435762287521	3.11124601609	-1233.7057678
-109.603906503	10.0	1.34620436039	0.432689781981	3.27544180378	-1096.03906503
-97.6713232644	10.0	1.40725225815	0.429637387093	3.44089310292	-976.713232644
-86.731213611	10.0	1.46790187891	0.426604906054	3.60761436905	-867.31213611
-77.3720240898	10.0	1.52815710756	0.423592144622	3.77562028047	-773.720240898
-69.6713075896	10.0	1.58802177858	0.420598911071	3.94492574257	-696.713075896
-62.7313253411	10.0	1.64749967696	0.417625016152	4.11554589222	-627.313253411
-57.0321115161	10.0	1.7065945389	0.414670273055	4.28749610228	-570.321115161
-50.8647120628	10.0	1.76531005264	0.411734497368	4.46079198623	-508.647120628
	--	1.82364985923	0.408817507039	--
