DH	INVJ	Xt	Mt	XMt	NDH
-72.3760386327	5.0	0.0	0.5	0.0705318098462	-1447.52077265
-495.266831276	10.0	0.0351419735732	0.498242901321	0.212344280861	-4952.66831276
-674.098498378	10.0	0.105056730635	0.494747163468	0.355164085808	-6740.98498378
-691.78287687	10.0	0.174483528755	0.491275823562	0.499001996008	-6917.8287687
-685.357123278	10.0	0.243427458617	0.487828627069	0.643868936901	-6853.57123278
-675.478939542	10.0	0.311893540338	0.484405322983	0.78977599081	-6754.78939542
-643.569314133	10.0	0.379886724686	0.481005663766	0.936734399769	-6435.69314133
-616.604695933	10.0	0.447411894273	0.477629405286	1.08475556841	-6166.04695933
-552.988206056	10.0	0.514473864728	0.474276306764	1.23385106692	-5529.88206056
-508.427796211	10.0	0.581077385835	0.470946130708	1.38403263403	-5084.27796211
-460.60247657	10.0	0.647227142662	0.467638642867	1.53531218014	-4606.0247657
-413.338534637	10.0	0.712927756654	0.464353612167	1.68770179043	-4133.38534637
-367.622281051	10.0	0.77818378671	0.461090810665	1.84121372809	-3676.22281051
-324.28282463	10.0	0.84299973024	0.457850013488	1.99586043761	-3242.8282463
-285.33197653	10.0	0.907380024197	0.45463099879	2.15165454815	-2853.3197653
-250.466334171	10.0	0.971329046088	0.451433547696	2.30860887697	-2504.66334171
-219.065423768	10.0	1.03485111497	0.448257444252	2.46673643295	-2190.65423768
-188.602540019	10.0	1.09795049241	0.445102475379	2.62605042017	-1886.02540019
-167.105776699	10.0	1.16063138347	0.441968430826	2.7865642416	-1671.05776699
-147.638249868	10.0	1.2228979376	0.43885510312	2.94829150287	-1476.38249868
-129.851426114	10.0	1.28475424957	0.435762287521	3.11124601609	-1298.51426114
-115.091396472	10.0	1.34620436039	0.432689781981	3.27544180378	-1150.91396472
-102.094685625	10.0	1.40725225815	0.429637387093	3.44089310292	-1020.94685625
-90.4812366005	10.0	1.46790187891	0.426604906054	3.60761436905	-904.812366005
-81.0139351812	10.0	1.52815710756	0.423592144622	3.77562028047	-810.139351812
-72.7460984101	10.0	1.58802177858	0.420598911071	3.94492574257	-727.460984101
-65.200504723	10.0	1.64749967696	0.417625016152	4.11554589222	-652.00504723
-59.0548692744	10.0	1.7065945389	0.414670273055	4.28749610228	-590.548692744
-53.0454346626	10.0	1.76531005264	0.411734497368	4.46079198623	-530.454346626
	--	1.82364985923	0.408817507039	--
