DH	INVJ	Xt	Mt	XMt	NDH
-19.9322563773	5.0	0.0	0.1	0.0705318098462	-1989.37189806
-117.501069862	10.0	0.00702839471465	0.0996485802643	0.212344280861	-5875.05349309
-140.207769934	10.0	0.0210113461269	0.0989494326937	0.355164085808	-7010.38849669
-140.180904492	10.0	0.034896705751	0.0982551647125	0.499001996008	-7009.04522458
-133.344001241	10.0	0.0486854917235	0.0975657254138	0.643868936901	-6667.20006204
-122.256931809	10.0	0.0623787080676	0.0968810645966	0.78977599081	-6112.84659043
-106.550805119	10.0	0.0759773449371	0.0962011327531	0.936734399769	-5327.54025593
-89.7646866285	10.0	0.0894823788546	0.0955258810573	1.08475556841	-4488.23433142
-73.9847211741	10.0	0.102894772946	0.0948552613527	1.23385106692	-3699.23605871
-60.0805261998	10.0	0.116215477167	0.0941892261416	1.38403263403	-3004.02630999
-48.7184802062	10.0	0.129445428532	0.0935277285734	1.53531218014	-2435.92401031
-39.6758596422	10.0	0.142585551331	0.0928707224335	1.68770179043	-1983.79298211
-32.2629262763	10.0	0.155636757342	0.0922181621329	1.84121372809	-1613.14631382
-27.0020154875	10.0	0.168599946048	0.0915700026976	1.99586043761	-1350.10077437
-22.8011450841	10.0	0.181476004839	0.090926199758	2.15165454815	-1140.05725421
-19.5202266788	10.0	0.194265809218	0.0902867095391	2.30860887697	-976.011333941
-16.977793638	10.0	0.206970222994	0.0896514888503	2.46673643295	-848.889681898
-14.7369163413	10.0	0.219590098483	0.0890204950759	2.62605042017	-736.845817066
-12.9204704327	10.0	0.232126276695	0.0883936861653	2.7865642416	-646.023521635
-11.8527326391	10.0	0.24457958752	0.087771020624	2.94829150287	-592.636631956
-9.81856083837	10.0	0.256950849914	0.0871524575043	3.11124601609	-490.928041919
-9.67840885904	10.0	0.269240872078	0.0865379563961	3.27544180378	-483.920442952
-8.62772889512	10.0	0.28145045163	0.0859274774185	3.44089310292	-431.386444756
-8.02307572148	10.0	0.293580375783	0.0853209812109	3.60761436905	-401.153786074
-7.17449175747	10.0	0.305631421511	0.0847184289244	3.77562028047	-358.724587873
-6.90544498508	10.0	0.317604355717	0.0841197822142	3.94492574257	-345.272249254
-6.24740722424	10.0	0.329499935392	0.0835250032304	4.11554589222	-312.370361212
-6.13982114635	10.0	0.341318907779	0.082934054611	4.28749610228	-306.991057318
-5.66066179502	10.0	0.353062010528	0.0823468994736	4.46079198623	-283.033089751
	--	0.364729971845	0.0817635014077	--
